time: 2.2864 , HR: 0.00 
time: 2.3587 , HR: 0.00 
time: 2.4295 , HR: 0.00 
time: 2.4649 , HR: 0.00 
time: 2.5053 , HR: 0.00 
time: 2.5396 , HR: 0.00 
time: 2.5728 , HR: 0.00 
time: 2.6061 , HR: 0.00 
time: 2.6381 , HR: 0.00 
time: 2.6729 , HR: 0.00 
time: 2.7059 , HR: 0.00 
time: 2.7390 , HR: 0.00 
time: 2.7705 , HR: 0.00 
time: 2.8030 , HR: 0.00 
time: 2.8357 , HR: 0.00 
time: 2.8683 , HR: 0.00 
time: 2.9109 , HR: 0.00 
time: 2.9589 , HR: 0.00 
time: 3.0071 , HR: 0.00 
time: 3.0500 , HR: 0.00 
time: 3.0818 , HR: 0.00 
time: 3.1152 , HR: 0.00 
time: 3.1485 , HR: 0.00 
time: 3.1819 , HR: 0.00 
time: 3.2140 , HR: 0.00 
time: 3.2465 , HR: 0.00 
time: 3.2831 , HR: 0.00 
time: 3.3164 , HR: 0.00 
time: 3.3488 , HR: 0.00 
time: 3.3801 , HR: 0.00 
time: 3.4140 , HR: 0.00 
time: 3.4467 , HR: 0.00 
time: 3.4790 , HR: 0.00 
time: 3.5113 , HR: 0.00 
time: 3.5442 , HR: 0.00 
time: 3.5804 , HR: 0.00 
time: 3.6134 , HR: 0.00 
time: 3.6454 , HR: 0.00 
time: 3.6787 , HR: 0.00 
time: 3.7118 , HR: 0.00 
time: 3.7444 , HR: 0.00 
time: 3.7766 , HR: 0.00 
time: 3.8096 , HR: 0.00 
time: 3.8423 , HR: 0.00 
time: 3.8792 , HR: 0.00 
time: 3.9121 , HR: 0.00 
time: 3.9454 , HR: 0.00 
time: 3.9771 , HR: 0.00 
time: 4.0104 , HR: 0.00 
time: 4.0438 , HR: 0.00 
time: 4.0752 , HR: 0.00 
time: 4.1073 , HR: 0.00 
time: 4.1401 , HR: 0.00 
time: 4.1767 , HR: 0.00 
time: 4.2081 , HR: 0.00 
time: 4.2405 , HR: 0.00 
time: 4.2733 , HR: 0.00 
time: 4.3060 , HR: 0.00 
time: 4.3373 , HR: 0.00 
time: 4.3697 , HR: 0.00 
time: 4.4006 , HR: 0.00 
time: 4.4328 , HR: 0.00 
time: 4.4692 , HR: 0.00 
time: 4.5019 , HR: 0.00 
time: 4.5331 , HR: 0.00 
time: 4.5661 , HR: 0.00 
time: 4.5988 , HR: 0.00 
time: 4.6311 , HR: 0.00 
time: 4.6636 , HR: 0.00 
time: 4.6978 , HR: 0.00 
time: 4.7317 , HR: 0.00 
time: 4.7683 , HR: 0.00 
time: 4.8007 , HR: 0.00 
time: 4.8317 , HR: 0.00 
time: 4.8632 , HR: 0.00 
time: 4.8958 , HR: 0.00 
time: 4.9280 , HR: 0.00 
time: 4.9604 , HR: 0.00 
time: 4.9930 , HR: 0.00 
time: 5.0252 , HR: 0.00 
time: 5.0600 , HR: 0.00 
time: 5.0929 , HR: 0.00 
time: 5.1254 , HR: 0.00 
time: 5.1567 , HR: 0.00 
time: 5.1898 , HR: 0.00 
time: 5.2227 , HR: 0.00 
time: 5.2543 , HR: 0.00 
time: 5.2866 , HR: 0.00 
time: 5.3195 , HR: 0.00 
time: 5.3510 , HR: 0.00 
time: 5.3861 , HR: 0.00 
time: 5.4178 , HR: 0.00 
time: 5.4488 , HR: 0.00 
time: 5.4804 , HR: 0.00 
time: 5.5128 , HR: 0.00 
time: 5.5457 , HR: 0.00 
time: 5.5781 , HR: 0.00 
time: 5.6131 , HR: 0.00 
time: 5.6473 , HR: 0.00 
time: 5.6882 , HR: 52.91 
time: 5.7410 , HR: 53.22 
time: 5.7992 , HR: 53.42 
time: 5.8489 , HR: 53.19 
time: 5.8978 , HR: 53.06 
time: 5.9467 , HR: 52.83 
time: 6.0211 , HR: 52.20 
time: 6.0812 , HR: 51.80 
time: 6.1454 , HR: 51.32 
time: 6.2185 , HR: 50.77 
time: 6.3024 , HR: 50.05 
time: 6.3783 , HR: 65.95 
time: 6.4369 , HR: 65.46 
time: 6.4948 , HR: 65.01 
time: 6.5292 , HR: 64.98 
time: 6.5705 , HR: 64.83 
time: 6.6059 , HR: 64.95 
time: 6.6408 , HR: 65.18 
time: 6.6742 , HR: 65.45 
time: 6.7079 , HR: 65.61 
time: 6.7426 , HR: 65.56 
time: 6.7776 , HR: 65.53 
time: 6.8114 , HR: 65.52 
time: 6.8438 , HR: 65.54 
time: 6.8843 , HR: 65.39 
time: 6.9199 , HR: 65.33 
time: 6.9532 , HR: 65.39 
time: 6.9861 , HR: 65.40 
time: 7.0204 , HR: 65.37 
time: 7.0550 , HR: 65.31 
time: 7.0889 , HR: 65.31 
time: 7.1364 , HR: 65.05 
time: 7.1818 , HR: 64.82 
time: 7.2188 , HR: 64.73 
time: 7.2526 , HR: 64.72 
time: 7.2863 , HR: 64.76 
time: 7.3189 , HR: 64.77 
time: 7.3536 , HR: 64.72 
time: 7.3875 , HR: 64.71 
time: 7.4200 , HR: 64.72 
time: 7.4541 , HR: 64.69 
time: 7.4982 , HR: 64.49 
time: 7.5348 , HR: 161.06 
time: 7.5689 , HR: 161.00 
time: 7.6030 , HR: 161.13 
time: 7.6376 , HR: 161.05 
time: 7.6703 , HR: 161.08 
time: 7.7146 , HR: 112.38 
time: 7.7482 , HR: 112.36 
time: 7.7900 , HR: 112.11 
time: 7.8260 , HR: 111.98 
time: 7.8599 , HR: 111.92 
time: 7.8942 , HR: 111.88 
time: 7.9287 , HR: 111.94 
time: 7.9618 , HR: 111.89 
time: 7.9961 , HR: 111.83 
time: 8.0286 , HR: 111.84 
time: 8.0691 , HR: 111.61 
time: 8.1041 , HR: 111.50 
time: 8.1360 , HR: 111.52 
time: 8.1696 , HR: 111.43 
